,Название фильмы и год выпуска,Описание,О фильме
24,Охотники за привидениями (1984),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, фэнтези, боевик, комедия ...
 Страна -  США 
 В ролях -  Билл Мюррей, Дэн Эйкройд, Сигурни Уивер, Харольд Рэмис, Рик ...
   В конце двадцатого века оказывается, что в Нью - Йорке живут не только обычные граждане, но и... привидения. Многомиллионное население не может противостоять натиску сверхъестественного. В конце концов на пути
"
25,Один дома (1990),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, семейный ...
 Страна -  США 
 В ролях -  Маколей Калкин, Джо Пеши, Дэниел Стерн, Кэтрин О'Хара, Джон ...
   Американское семейство отправляется из Чикаго в Европу, но в спешке сборов бестолковые родители забывают дома... одного из своих детей. Юное создание, однако, не теряется и демонстрирует чудеса
"
26,Мстители: Война бесконечности (2018),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения ...
 Страна -  США 
 В ролях -  Роберт Дауни мл., Крис Хемсворт, Марк Руффало, Крис Эванс, ...
   Пока Мстители и их союзники продолжают защищать мир от различных опасностей, с которыми не смог бы справиться один супергерой, новая угроза возникает из космоса: Танос. Межгалактический тиран преследует цель
"
27,Бойцовский клуб (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, криминал ...
 Страна -  США, Германия 
 В ролях -  Эдвард Нортон, Брэд Питт, Хелена Бонем Картер, Мит Лоаф, ...
   Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена - харизматического
"
28,Темный рыцарь (2008),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, криминал, драма ...
 Страна -  США, Великобритания 
 В ролях -  Кристиан Бэйл, Хит Леджер, Аарон Экхарт, Мэгги Джилленхол, ...
   Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы Готэма от преступности. Сотрудничество оказывается эффективным, но скоро они
"
29,Области тьмы (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, фантастика ...
 Страна -  США 
 В ролях -  Брэдли Купер, Роберт Де Ниро, Эбби Корниш, Эндрю Ховард, ...
   Нью-йоркский писатель Эдди, желая преодолеть чёрную полосу в жизни, принимает засекреченный препарат под названием NZT. Таблетка выводит мозг парня на работу в нереальной мощности. Этот творческий наркотик
"
30,Властелин колец: Братство Кольца (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, приключения, драма ...
 Страна -  Новая Зеландия, США 
 В ролях -  Элайджа Вуд, Иэн Маккеллен, Шон Эстин, Вигго Мортенсен, ...
   Сказания о Средиземье - это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу. Тихая деревня, где живут хоббиты.
"
31,Марсианин (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, приключения ...
 Страна -  США, Великобритания, Венгрия, Иордания 
 В ролях -  Мэтт Дэймон, Джессика Честейн, Чиветель Эджиофор, Кристен ...
   Марсианская миссия «Арес-3» в процессе работы была вынуждена экстренно покинуть планету из-за надвигающейся песчаной бури. Инженер и биолог Марк Уотни получил повреждение скафандра во время песчаной бури.
"
32,Круэлла (2021),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, криминал, драма ...
 Страна -  США, Великобритания 
 В ролях -  Эмма Стоун, Эмма Томпсон, Джоэль Фрай, Пол Уолтер Хаузер, ...
   Великобритания, 1960-е годы. Эстелла была необычным ребёнком, и особенно трудно ей было мириться со всякого рода несправедливостью. Вылетев из очередной школы, она с мамой отправляется в Лондон. По дороге они
"
33,Время (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, мелодрама, боевик ...
 Страна -  США 
 В ролях -  Джастин Тимберлейк, Аманда Сайфред, Киллиан Мёрфи, Алекс ...
   Добро пожаловать в мир, где время стало единственной и самой твердой валютой, где люди генетически запрограммированы так, что в 25 лет перестают стареть. Правда, последующие годы стоят денег. И вот богатые
"
34,Отель «Гранд Будапешт» (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, приключения, детектив, криминал ...
 Страна -  США, Германия 
 В ролях -  Рэйф Файнс, Тони Револори, Сирша Ронан, Эдриан Броуди, ...
   Фильм рассказывает об увлекательных приключениях легендарного консьержа Густава и его юного друга, портье Зеро Мустафы. Сотрудники гостиницы становятся свидетелями кражи и поисков бесценных картин эпохи
"
35,Послезавтра (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, триллер, драма, приключения ...
 Страна -  США 
 В ролях -  Деннис Куэйд, Джейк Джилленхол, Эмми Россам, Дэш Майок, ...
   Земля уверенно движется навстречу глобальной экологической катастрофе: в одной части света все живое погибает от засухи, в другой - разбушевавшаяся водная стихия сносит города. Близость катастрофы вынуждает
"
36,"Я, робот (2004)",https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, детектив ...
 Страна -  США, Германия 
 В ролях -  Уилл Смит, Бриджет Мойнэхэн, Алан Тьюдик, Джеймс Кромуэлл, ...
   Действие фильма происходит в будущем (2035 г.), где роботы являются обычными помощниками человека. Главный герой – полицейский, «не переваривающий» роботов, расследует дело об убийстве, в которое оказывается
"
37,Мальчишник в Вегасе (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия ...
 Страна -  США 
 В ролях -  Брэдли Купер, Эд Хелмс, Зак Галифианакис, Джастин Барта, ...
   Они мечтали устроить незабываемый мальчишник в Вегасе. Но теперь им необходимо вспомнить, что именно произошло: что за ребенок сидит в шкафу номера отеля? Как в ванную попал тигр? Почему у одного из них нет
"
