,Название фильмы и год выпуска,Описание,О фильме
118,Она (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, фантастика, драма ...
 Страна -  США 
 В ролях -  Хоакин Феникс, Скарлетт Йоханссон, Эми Адамс, Руни Мара, ...
   Теодор - одинокий писатель, покупает новую техническую разработку - операционную систему, призванную исполнять любое желание пользователя. К удивлению Теодора, вскоре между ним и операционной системой
"
119,Маленькие женщины (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама ...
 Страна -  США 
 В ролях -  Сирша Ронан, Эмма Уотсон, Флоренс Пью, Элайза Сканлен, Лора ...
   История взросления четырёх непохожих друг на друга сестер. Где-то бушует Гражданская война, но проблемы, с которыми сталкиваются девушки, актуальны как никогда: первая любовь, горькое разочарование,
"
120,Дело храбрых (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, драма, биография ...
 Страна -  США 
 В ролях -  Джош Бролин, Майлз Теллер, Джефф Бриджес, Джеймс Бэдж Дэйл, ...
   История о команде пожарных под названием Granite Mountain Hotshots, столкнувшихся в Аризоне с одним из самых смертоносных пожаров в истории....
"
121,Полночь в Париже (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, мелодрама, комедия ...
 Страна -  США, Испания 
 В ролях -  Оуэн Уилсон, Марион Котийяр, Рэйчел МакАдамс, Майкл Шин, ...
   Писатель и безнадежный романтик, уверенный в том, что должен был жить в 1920-е годы, приезжает в Париж со своей возлюбленной на каникулы и попадает в прошлое. Встречаясь там с Хемингуэем, Пикассо, супругами
"
122,Парк Юрского периода (1993),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  приключения, фантастика, семейный ...
 Страна -  США 
 В ролях -  Сэм Нил, Лора Дерн, Джефф Голдблюм, Ричард Аттенборо, ...
   Экспансивный богач и профессор уговаривает двух палеонтологов приехать на остров у побережья Коста-Рики, где он устроил парк Юрского периода. Парк населен давно вымершими динозаврами, воссозданными профессором
"
123,Мой парень - псих (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама, комедия ...
 Страна -  США 
 В ролях -  Брэдли Купер, Дженнифер Лоуренс, Роберт Де Ниро, Джеки ...
   Бывший школьный учитель Пэт, проведя в психиатрической больнице восемь месяцев, возвращается в родительский дом. Он одержим мыслью помириться с бывшей супругой, к которой не имеет права приближаться по решению
"
124,Перл-Харбор (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  военный, драма, боевик, мелодрама, история ...
 Страна -  США 
 В ролях -  Бен Аффлек, Джош Хартнетт, Кейт Бекинсейл, Кьюба Гудинг ...
   Мирная жизнь двух друзей-летчиков рушится в одночасье, когда японская авиация совершает внезапное нападение на военную базу США в Пёрл-Харборе....
"
125,Дом Gucci (2021),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, драма, криминал, триллер ...
 Страна -  США, Канада 
 В ролях -  Леди Гага, Адам Драйвер, Джаред Лето, Джереми Айронс, Джек ...
   Милан, 1978 год. Девушка из небогатой семьи Патриция Реджани на вечеринке знакомится с Маурицио Гуччи, нерешительным наследником знаменитого модного дома. Несмотря на неодобрение его отца Родольфо и отлучение
"
126,РЭД (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, комедия, криминал ...
 Страна -  США, Китай 
 В ролях -  Брюс Уиллис, Джон Малкович, Морган Фриман, Хелен Миррен, ...
   Фрэнк Мозес, экс-агент супергруппы ЦРУ, живет теперь мирной и тихой жизнью. Но прошлое настигает его: как-то утром загадочный киллер пытается лишить его жизни. Опытный Фрэнк, конечно, сумел увернуться от пули,
"
127,8 миля (2002),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, музыка ...
 Страна -  США 
 В ролях -  Эминем, Ким Бейсингер, Бриттани Мерфи, Мекхай Файфер, Ивэн ...
   Детройт, 1995 год. Блестящая и многообещающая политика индустриального развития города терпит крах и приводит к хаосу и неразберихе, что в результате выливается в один из самых серьезных в американской истории
"
128,Сокровище нации (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, детектив, приключения ...
 Страна -  США 
 В ролях -  Николас Кейдж, Дайан Крюгер, Джастин Барта, Шон Бин, Джон ...
   Современные охотники за сокровищами во главе с Беном Франклином Гейтсом узнают старинную легенду о сокровище, спрятанном еще отцами-основателями американского государства Джорджем Вашингтоном, Бенджамином
"
129,Хорошо быть тихоней (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама ...
 Страна -  США 
 В ролях -  Логан Лерман, Эмма Уотсон, Эзра Миллер, Нина Добрев, Дилан ...
   История о Чарли, ученике старшей школы в Питтсбурге, стеснительном и непопулярном. На наших глазах Чарли взрослеет, меняется круг его общения, меняется его мнение о мире....
"
130,Мы из будущего (2008),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения, военный, история ...
 Страна -  Россия 
 В ролях -  Данила Козловский, Дмитрий Волкострелов, Владимир Яглыч, ...
   Действие картины разворачивается в двух временных пластах: в наши дни и в годы войны, во время тяжелых оборонительных боев августа 1942-го. Главные герои ленты – четверо «черных следопытов» (людей этой
"
131,Тупой и еще тупее (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия ...
 Страна -  США 
 В ролях -  Джим Керри, Джефф Дэниелс, Лорен Холли, Майк Старр, Карен ...
   Два полных придурка Ллойд Крисмас и Харри Данн пытаются нагнать красивую девушку Мэри Суонсон, чтобы вручить ей оставленный ею в аэропорту чемоданчик. Им невдомек, что Мэри оставила его специально, в качестве
"
132,Одержимость (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, мелодрама, детектив ...
 Страна -  США 
 В ролях -  Джош Хартнетт, Роуз Бирн, Мэттью Лиллард, Дайан Крюгер, ...
   Накануне важной деловой поездки молодой преуспевающий финансист Мэтью замечает в ресторане свою бывшую возлюбленную Лизу, которая таинственным образом исчезла два года назад и страстью к которой он все еще
"
133,Нокдаун (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама, биография, история, спорт ...
 Страна -  США 
 В ролях -  Рассел Кроу, Рене Зеллвегер, Пол Джаматти, Крэйг Бирко, ...
   Потерпев несколько поражений кряду, подававший надежды боксёр-тяжеловес Джим Брэддок вынужден бросить спорт. Во времена Великой депрессии Брэддок берётся за любую работу, чтобы прокормить свою жену Мэй и
"
134,Грязные танцы (1987),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама, музыка ...
 Страна -  США 
 В ролях -  Дженнифер Грей, Патрик Суэйзи, Джерри Орбак, Синтия Роудс, ...
   Лето 1963 года. 17-летняя Фрэнсис по прозвищу Бэби проводит каникулы с родителями в курортном отеле, где знакомится с Джонни, красивым профессиональным танцором. Словно околдованная сексуальными ритмами и
"
135,Клаус (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мультфильм, семейный, комедия, приключения ...
 Страна -  Испания, Великобритания, США 
 В ролях -  Джейсон Шварцман, Дж.К. Симмонс, Джоан Кьюсак, Рашида ...
   Владелец почтовой империи, чтобы научить ленивого отпрыска по имени Джеспер уму-разуму, отправляет его на крайний север в город Смиренсбург. Тот должен организовать там почтовое отделение и за год обработать
"
136,Амели (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  Франция, Германия 
 В ролях -  Одри Тоту, Матьё Кассовиц, Рюфюс, Лорелла Кравотта, Серж ...
   Знаете ли вы, что все события, происходящие в нашем мире, даже самые незначительные, взаимосвязаны самым удивительным и чудесным образом? Как полет крошечной мухи может вызвать где-то далеко мощный ураган, так
"
137,Начало (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, драма, детектив ...
 Страна -  США, Великобритания 
 В ролях -  Леонардо ДиКаприо, Джозеф Гордон-Левитт, Эллиот Пейдж, Том ...
   Кобб – талантливый вор, лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна, когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали
"
138,Операция «Ы» и другие приключения Шурика (1965),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, мелодрама, криминал ...
 Страна -  СССР 
 В ролях -  Александр Демьяненко, Наталья Селезнёва, Алексей Смирнов, ...
   Студент Шурик попадает в самые невероятные ситуации: сражается с хулиганом Верзилой, весьма оригинальным способом готовится к экзамену и предотвращает «ограбление века», на которое идёт троица бандитов -
"
139,Мстители (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, фэнтези, приключения ...
 Страна -  США 
 В ролях -  Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт, ...
   Локи, сводный брат Тора, возвращается, и в этот раз он не один. Земля оказывается на грани порабощения, и только лучшие из лучших могут спасти человечество. Глава международной организации Щ.И.Т. Ник Фьюри
"
140,Дэдпул (2016),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, комедия, приключения ...
 Страна -  США 
 В ролях -  Райан Рейнольдс, Морена Баккарин, Эд Скрейн, ТиДжей Миллер, ...
   Уэйд Уилсон - наёмник. Будучи побочным продуктом программы вооружённых сил под названием «Оружие X», Уилсон приобрёл невероятную силу, проворство и способность к исцелению. Но страшной ценой: его клеточная
"
141,Легенда (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, триллер, драма ...
 Страна -  Великобритания, Франция, США 
 В ролях -  Том Харди, Эмили Браунинг, Дэвид Тьюлис, Даффи, Кристофер ...
   Фильм расскажет историю близнецов Реджи и Ронни Крэй, культовых фигур преступного мира Великобритании 1960-х. Братья возглавляли самую влиятельную бандитскую группировку Ист-Энда. В их послужном списке:
"
142,Джентльмены удачи (1971),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, драма, криминал, детектив ...
 Страна -  СССР 
 В ролях -  Евгений Леонов, Георгий Вицин, Раднэр Муратов, Савелий ...
   Заведующему детсадом Трошкину фатально не повезло: он оказался как две капли воды похож на бандита по кличке «Доцент», похитившего уникальный шлем Александра Македонского. Милиция внедряет добряка Трошкина в
"
143,"Поймай меня, если сможешь (2002)",https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, биография, комедия ...
 Страна -  США, Канада 
 В ролях -  Леонардо ДиКаприо, Том Хэнкс, Кристофер Уокен, Мартин Шин, ...
   Фрэнк Эбегнейл успел поработать врачом, адвокатом и пилотом на пассажирской авиалинии – и все это до достижения полного совершеннолетия в 21 год. Мастер в обмане и жульничестве, он также обладал искусством
"
144,Лига справедливости Зака Снайдера (2021),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, фэнтези ...
 Страна -  США 
 В ролях -  Бен Аффлек, Галь Гадот, Генри Кавилл, Джейсон Момоа, Эзра ...
   Вдохновившись самопожертвованием Супермена, Брюс Уэйн вновь обретает веру в человечество. Он заручается поддержкой новой союзницы Дианы Принс, чтобы сразиться с ещё более могущественным противником. Бэтмен и
"
145,Иллюзия обмана (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, триллер, детектив ...
 Страна -  США, Франция 
 В ролях -  Мелани Лоран, Морган Фриман, Майкл Кейн, Джесси Айзенберг, ...
   Команда лучших иллюзионистов мира проворачивает дерзкие ограбления прямо во время своих шоу, играя в кошки-мышки с агентами ФБР....
"
146,Исчезнувшая (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, детектив ...
 Страна -  США 
 В ролях -  Бен Аффлек, Розамунд Пайк, Нил Патрик Харрис, Тайлер Перри, ...
   Всё было готово для празднования пятилетия супружеской жизни, когда вдруг необъяснимо пропала виновница торжества. Остались следы борьбы в доме, кровь, которую явно пытались стереть, и цепочка подсказок в игре
"
147,Молчание ягнят (1990),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, детектив, криминал, драма, ужасы ...
 Страна -  США 
 В ролях -  Джоди Фостер, Энтони Хопкинс, Брук Смит, Скотт Гленн, Тед ...
   Психопат похищает и убивает молодых женщин по всему Среднему Западу. ФБР, уверенное, что все преступления совершены одним и тем же человеком, поручает агенту Клариссе Старлинг встретиться с
"
148,Маска (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, фэнтези, криминал ...
 Страна -  США 
 В ролях -  Джим Керри, Кэмерон Диас, Питер Ригерт, Питер Грин, Эми ...
   Скромный и застенчивый служащий банка чувствует себя неуверенно с красивыми девушками и вообще рядом с людьми. Волей судьбы к нему попадает волшебная маска, и Стенли Ипкис приобретает способность превращаться
"
149,Великий Гэтсби (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама ...
 Страна -  Австралия, США 
 В ролях -  Леонардо ДиКаприо, Тоби Магуайр, Кэри Маллиган, Джоэл ...
   Весной 1922 года, в эпоху разлагающейся морали, блистательного джаза и «королей контрабандного алкоголя», Ник Каррауэй приезжает из Среднего Запада в Нью-Йорк. Преследуя собственную американскую мечту, он
"
150,Выживший (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  приключения, вестерн, боевик, драма, биография ...
 Страна -  США, Гонконг, Тайвань 
 В ролях -  Леонардо ДиКаприо, Том Харди, Донал Глисон, Уилл Поултер, ...
   Охотник Хью Гласс серьезно ранен на неизведанных просторах американского Дикого Запада. Товарищ Хью по отряду покорителей новых земель Джон Фицжеральд предательски оставляет его умирать в одиночестве. Теперь у
"
151,Игра (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, детектив, приключения ...
 Страна -  США 
 В ролях -  Майкл Дуглас, Шон Пенн, Дебора Кара Ангер, Джеймс Ребхорн, ...
   Николас Ван Ортон - само воплощение успеха. Он преуспевает, он невозмутим и спокоен, привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок - билет для участия в
"
152,По соображениям совести (2016),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, военный, биография, история ...
 Страна -  Австралия, США 
 В ролях -  Эндрю Гарфилд, Сэм Уортингтон, Тереза Палмер, Люк Брейси, ...
   Медик американской армии времён Второй мировой войны Дезмонд Досс, который служил во время битвы за Окинаву, отказывается убивать людей и становится первым идейным уклонистом в американской истории,
"
153,Голодные игры (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, приключения ...
 Страна -  США 
 В ролях -  Дженнифер Лоуренс, Джош Хатчерсон, Лиам Хемсворт, Вуди ...
   Будущее. Деспотичное государство ежегодно устраивает показательные игры на выживание, за которыми в прямом эфире следит весь мир. Жребий участвовать в Играх выпадает юной Китнисс и тайно влюбленному в нее
"
154,Дурак (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  Россия 
 В ролях -  Артём Быстров, Наталья Суркова, Юрий Цурило, Борис ...
   Жизни 800 человек общежития висят буквально на волоске из-за безразличия местных властей. В любую секунду здание может рухнуть. И кто бы мог подумать, что судьбы людей окажутся в руках простого сантехника. Но
"
155,Крестный отец (1972),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал ...
 Страна -  США 
 В ролях -  Марлон Брандо, Аль Пачино, Джеймс Каан, Роберт Дювалл, ...
   Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов. Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй
"
156,Человек-паук: Нет пути домой (2021),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения, фэнтези ...
 Страна -  США 
 В ролях -  Том Холланд, Зендея, Бенедикт Камбербэтч, Мариса Томей, ...
   Жизнь и репутация Питера Паркера оказываются под угрозой, поскольку Мистерио раскрыл всему миру тайну личности Человека-паука. Пытаясь исправить ситуацию, Питер обращается за помощью к Стивену Стрэнджу, но
"
157,Одержимость (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, музыка ...
 Страна -  США 
 В ролях -  Майлз Теллер, Дж.К. Симмонс, Пол Райзер, Мелисса Бенойст, ...
   Эндрю мечтает стать великим. Казалось бы, вот-вот его мечта осуществится. Юношу замечает настоящий гений, дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью, а
"
158,Реквием по мечте (2000),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Джаред Лето, Марлон Уайанс, Дженнифер Коннелли, Эллен ...
   Каждый стремится к своей заветной мечте. Сара Голдфарб мечтала сняться в известном телешоу, ее сын Гарольд с другом Тайроном - сказочно разбогатеть, подруга Гарольда Мэрион грезила о собственном модном
"
159,Движение вверх (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  спорт, драма ...
 Страна -  Россия 
 В ролях -  Владимир Машков, Андрей Смоляков, Иван Колесников, Кирилл ...
   Есть победы, которые меняют ход истории. Победы духа, победы страны, победы всего мира. Таким триумфом стали легендарные «три секунды» - выигрыш сборной СССР по баскетболу на роковой мюнхенской Олимпиаде 1972
"
160,Человек дождя (1988),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Дастин Хоффман, Том Круз, Валерия Голино, Джералд Р. Молен, ...
   Грубоватому и эгоистичному молодому человеку Чарли в наследство от отца достались лишь розовые кусты да «Бьюик» 1949 года, а львиная доля наследства уходит его брату-аутисту Раймонду. Задавшись целью отобрать
"
161,Чёрный лебедь (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, триллер ...
 Страна -  США 
 В ролях -  Натали Портман, Мила Кунис, Венсан Кассель, Барбара Херши, ...
   У примы балетного театра неожиданно появляется опасная конкурентка, способная отобрать у неё все партии. Соперничество усиливается по мере приближения ответственного выступления....
"
162,Социальная сеть (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, биография ...
 Страна -  США 
 В ролях -  Джесси Айзенберг, Эндрю Гарфилд, Джастин Тимберлейк, Арми ...
   В фильме рассказывается история создания одной из самых популярных в Интернете социальных сетей - Facebook. Оглушительный успех этой сети среди пользователей по всему миру навсегда изменил жизнь
"
163,В джазе только девушки (1959),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия, криминал, музыка ...
 Страна -  США 
 В ролях -  Мэрилин Монро, Тони Кертис, Джек Леммон, Джордж Рафт, Пэт ...
   Когда чикагские музыканты Джо и Джерри случайно становятся свидетелями бандитской перестрелки, они в срочном порядке смываются на поезде во Флориду, прикинувшись женщинами. Теперь они - Джозефина и Дафна,
"
164,Огонь (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, боевик ...
 Страна -  Россия 
 В ролях -  Константин Хабенский, Иван Янковский, Стася Милославская, ...
   После гибели подчинённого бывалый инструктор бригады пожарных Алексей Соколов хотел было уволиться, но лето в России - жаркая пора. Взяв в команду шестым нахального новичка, парня своей дочери, Соколов
"
165,Запах женщины (1992),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Аль Пачино, Крис О'Доннелл, Джеймс Ребхорн, Габриель Анвар, ...
   Наступил День благодарения, и отставной полковник разведки Фрэнк Слэйд решает справить праздник, побаловав себя поездкой в Нью-Йорк. Фрэнк хочет обставить свой последний «коронный выход» по высшему разряду:
"
166,Малышка на миллион (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, спорт ...
 Страна -  США 
 В ролях -  Клинт Иствуд, Хилари Суэнк, Морган Фриман, Джей Барушель, ...
   Тренеру по боксу Фрэнку Данну так и не удалось воспитать чемпиона. Он владеет спортивным залом в Лос-Анджелесе, где всё ещё проводит тренировки. Дочь не отвечает на его письма, а его лучший боец подписал
"
167,Сияние (1980),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, ужасы, детектив ...
 Страна -  США, Великобритания 
 В ролях -  Джек Николсон, Шелли Дювалл, Дэнни Ллойд, Скэтмэн Крозерс, ...
   Джек Торренс с женой и сыном приезжает в элегантный отдалённый отель, чтобы работать смотрителем во время мертвого сезона. Торренс здесь раньше никогда не бывал. Или это не совсем так? Ответ лежит во мраке,
"
168,Пока не сыграл в ящик (2007),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, приключения ...
 Страна -  США 
 В ролях -  Джек Николсон, Морган Фриман, Шон Хейс, Беверли Тодд, Роб ...
   Именно так решили два больных раком соседа по больничной палате, когда услышали свой приговор. Один из них вспыльчивый миллиардер, а второй эрудированный автомеханик. Они составляют список дел, которые
"
169,Жизнь прекрасна (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  военный, комедия, драма, мелодрама ...
 Страна -  Италия 
 В ролях -  Роберто Бениньи, Николетта Браски, Джорджио Кантарини, ...
   Во время Второй мировой войны из Италии в концлагерь были отправлены евреи - отец с маленьким сыном. Жена-итальянка добровольно последовала за ними. В лагере отец сказал мальчику, что всё происходящее вокруг
"
170,Красота по-американски (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Кевин Спейси, Аннетт Бенинг, Тора Бёрч, Уэс Бентли, Мена ...
   Лестер Бернэм переживает кризис среднего возраста. Его не уважают и не ценят на работе, а от счастливой семьи осталась лишь видимость. У жены Кэролайн страстный роман с коллегой по работе, а угрюмая
"
171,Секс по дружбе (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия, драма ...
 Страна -  США 
 В ролях -  Джастин Тимберлейк, Мила Кунис, Патриша Кларксон, Дженна ...
   Главная героиня – сотрудник кадрового агентства, которую преследуют фобии в отношениях с обязательствами. Однако, эти проблемы оказываются надуманными, после того как она встречает редактора глянцевого
"
172,Другие (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, триллер, детектив ...
 Страна -  Испания, США, Франция, Италия 
 В ролях -  Николь Кидман, Финола Флэнаган, Кристофер Экклстон, Алакина ...
   Грейс прячет своих детей в уединенном особняке на острове, где семейство дожидается окончания Второй мировой войны. Войны, с которой должен вернуться муж Грейс. Её дочь и сын страдают странным заболеванием,
"
173,Основатель (2016),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, драма ...
 Страна -  США, Греция 
 В ролях -  Майкл Китон, Ник Офферман, Джон Кэрролл Линч, Линда ...
   История жизни Рэя Крока, человека создавшего самую известную в мире сеть ресторанов быстрого обслуживания - McDonald`s....
"
174,Платформа (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, триллер, драма ...
 Страна -  Испания 
 В ролях -  Иван Массаге, Сорион Эгилеор, Антония Сан Хуан, Эмилио ...
   Горен соглашается на участие в некоем эксперименте и вскоре приходит в себя в почти пустой комнате уровня 48, где имеются большие прямоугольные отверстия в полу и потолке. На каждом уровне находятся два
"
175,Воин (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, спорт ...
 Страна -  США 
 В ролях -  Джоэл Эдгертон, Том Харди, Ник Нолти, Дженнифер Моррисон, ...
   Томми Конлон - молодой боец, вернувшийся домой после долгого отсутствия, чтобы приготовиться к участию в большом турнире. Отец-пьяница, в прошлом талантливый боксер, берется тренировать сына....
"
176,Зов предков (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, приключения, семейный ...
 Страна -  США, Канада 
 В ролях -  Харрисон Форд, Омар Си, Кара Ги, Дэн Стивенс, Брэдли ...
   История Бака, дружелюбного пса, чья размеренная домашняя жизнь перевернулась с ног на голову во времена золотой лихорадки в 1880-х, когда его вырвали из дома в Калифорнии и перевезли в дикую и холодную Аляску.
"
177,"Значит, война (2012)",https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, мелодрама, комедия ...
 Страна -  США 
 В ролях -  Том Харди, Крис Пайн, Риз Уизерспун, Тиль Швайгер, Челси ...
   Агенты ЦРУ и в то же время лучшие друзья Франклин Фостер и Так Хенсон отправляются в Гонконг, чтобы поймать международного преступника Генриха, который владеет оружием массового уничтожения. В ходе миссии брат
"
178,…А в душе я танцую (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, мелодрама ...
 Страна -  Великобритания, Ирландия, Франция 
 В ролях -  Джеймс МакЭвой, Стивен Робертсон, Ромола Гарай, Джерард ...
   Майклу 24 года, и почти всю свою жизнь он провел в доме для инвалидов, куда попал с церебральным параличом. Он знакомится с новым пациентом клиники - Рори О'Ши, которого приковала к инвалидной коляске мышечная
"
179,Кокаин (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, биография, драма ...
 Страна -  США, Мексика 
 В ролях -  Джонни Депп, Пенелопа Крус, Франка Потенте, Рэйчел ...
   Джордж Джанг, обыкновенный парень из пригорода, решил осуществить американскую мечту своим способом - стать первым американцем, импортирующим кокаин в больших объемах. Он создал рынок сбыта, подсадив на кокаин
"
180,Аритмия (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, драма ...
 Страна -  Россия 
 В ролях -  Александр Яценко, Ирина Горбачева, Николай Шрайбер, Максим ...
   Олег - талантливый врач, работает на «скорой», которая мчится от пациента к пациенту. Олег знает: его приезд может изменить всё. Каждый его успех делает мир лучше. Самое важное - там, где он пытается совершить
"
181,Авиатор (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, биография ...
 Страна -  США, Германия 
 В ролях -  Леонардо ДиКаприо, Кейт Бланшетт, Мэтт Росс, Джон Си Райли, ...
   Получив от отца небольшую фабрику, Говард Хьюз превратил ее в гигантское, фантастически прибыльное предприятие. Став владельцем огромной кинокомпании, он снял самый дорогой для своего времени фильм и покорил
"
